Main Name	DrugBank:Identifiers	score	Human Intestinal Absorption	Blood Brain Barrier	P-glycoprotein Inhibition	Drug Induced Liver Injury	CYP3A4 Inhibition	CYP2C9 Inhibition	DrugBank:Routes	DrugBank:FDA Approved	Less than $500	Pediatric Safety
hydroxyzine	{'cas-number': '68-88-2', 'ChEBI': '5818', 'ChEMBL': 'CHEMBL896', 'drugbank-id': 'DB00557', 'InChIKey': 'ZQDWXGKKHFNSQK-UHFFFAOYSA-N', 'PubChem Compound': '3658', 'PubChem Substance': '46508556', 'unii': '30S50YM8OG'}	6	0.9942232344	0.9127730683	0.7291650511	0.0760412384	0.1584057209	0.1878095191	{'sublingual', 'intramuscular', 'oral'}	TRUE	TRUE	TRUE
metformin	{'cas-number': '657-24-9', 'ChEBI': '6801', 'ChEMBL': 'CHEMBL1431', 'drugbank-id': 'DB00331', 'InChIKey': 'XZWYZXLIPXDOLR-UHFFFAOYSA-N', 'PubChem Compound': '4091', 'PubChem Substance': '46507752', 'unii': '9100L32L2N'}	6	0.9711515714	0.6405290761	0.0299544577	0.0779986519	0.0032646198	0.0030989068	{'not applicable', 'oral'}	TRUE	TRUE	TRUE
metoprolol	{'cas-number': '51384-51-1', 'ChEBI': '6904', 'ChEMBL': 'CHEMBL13', 'drugbank-id': 'DB00264', 'InChIKey': 'IUBSYMUCCVWXPE-UHFFFAOYSA-N', 'PubChem Compound': '4171', 'PubChem Substance': '46506211', 'unii': 'GEB06NHM23'}	6	0.9956387745	0.8465716479	0.0646611352	0.0883883672	0.0648173563	0.021937971	{'not applicable', 'intravenous', 'oral'}	TRUE	TRUE	TRUE
oseltamivir	{'cas-number': '196618-13-0', 'ChEBI': '7798', 'ChEMBL': 'CHEMBL1229', 'drugbank-id': 'DB00198', 'InChIKey': 'VSZGPKBBMSAYNT-RRFJBIMHSA-N', 'PubChem Compound': '65028', 'PubChem Substance': '46507602', 'unii': '20O93L6F9H'}	6	0.9942805098	0.8491089457	0.0401154727	0.2192931539	0.0456702576	0.0284280219	{'oral'}	TRUE	TRUE	TRUE
propranolol	{'cas-number': '525-66-6', 'ChEBI': '8499', 'ChEMBL': 'CHEMBL27', 'drugbank-id': 'DB00571', 'InChIKey': 'AQHHHDLHHXJYJD-UHFFFAOYSA-N', 'PubChem Compound': '4946', 'PubChem Substance': '46505387', 'unii': '9Y8NXQ24VQ'}	6	0.9963829418	0.6028237075	0.1423310062	0.1399007758	0.4224926616	0.0483986744	{'intravenous', 'oral'}	TRUE	TRUE	TRUE
pyridoxine	{'cas-number': '65-23-6', 'ChEBI': '16709', 'ChEMBL': 'CHEMBL1364', 'drugbank-id': 'DB00165', 'InChIKey': 'LXNHXLLTXMVWPM-UHFFFAOYSA-N', 'PubChem Compound': '1054', 'PubChem Substance': '46508560', 'unii': 'KV2JZ1BI6Z'}	6	0.9864176723	0.6089579299	0.0238434105	0.1069265592	0.0082446823	0.005849196	{'topical', 'ophthalmic', 'intramuscular', 'dental', 'cutaneous', 'transdermal', 'intravenous', 'oral'}	TRUE	TRUE	TRUE
triamcinolone	{'cas-number': '124-94-7', 'ChEBI': '9667', 'ChEMBL': 'CHEMBL1451', 'drugbank-id': 'DB00620', 'InChIKey': 'GFNANZIMVAIWHM-OBYCQNJPSA-N', 'PubChem Compound': '31307', 'PubChem Substance': '46507950', 'unii': '1ZK20VI6TY'}	6	0.9874542498	0.5382120628	0.1016503443	0.2060012842	0.0419561321	0.0024840833	{'intravascular', 'dental', 'parenteral', 'epidural', 'intralesional', 'intravenous', 'nasal', 'intramuscular', 'perineural', 'intradermal', 'oral', 'intrathecal', 'ophthalmic', 'buccal', 'intrasynovial', 'intra-articular', 'intravitreal', 'topical', 'intra-arterial', 'intracaudal', 'subcutaneous', 'respiratory (inhalation)', 'intrabursal', 'soft tissue', 'infiltration', 'periarticular'}	TRUE	TRUE	TRUE
atomoxetine	{'cas-number': '83015-26-3', 'ChEBI': '127342', 'ChEMBL': 'CHEMBL641', 'drugbank-id': 'DB00289', 'InChIKey': 'VHGCDTVCOLNTBX-QGZVFWFLSA-N', 'PubChem Compound': '54841', 'PubChem Substance': '46506160', 'unii': 'ASW034S0B8'}	5	0.9964816818	0.9487553435	0.1911493634	0.1279725354	0.0409701797	0.0293297353	{'oral'}	TRUE	TRUE	TRUE
calcitriol	{'cas-number': '32222-06-3', 'ChEBI': '17823', 'ChEMBL': 'CHEMBL846', 'drugbank-id': 'DB00136', 'InChIKey': 'GMRQFYUYWCNGIN-NKMMMXOESA-N', 'PubChem Compound': '5280453', 'PubChem Substance': '46508162', 'unii': 'FXC9231JVH'}	5	0.9939736994	0.654870169	0.5502206376	0.078336732	0.059725113	0.0595574329	{'topical', 'intravenous', 'oral'}	TRUE	TRUE	TRUE
captopril	{'cas-number': '62571-86-2', 'ChEBI': '3380', 'ChEMBL': 'CHEMBL1560', 'drugbank-id': 'DB01197', 'InChIKey': 'FAKRSMQSSFJEIM-RQJHMYQMSA-N', 'PubChem Compound': '44093', 'PubChem Substance': '46506879', 'unii': '9G64RSX1XD'}	5	0.9882524703	0.8258138684	0.0117413753	0.3662746045	0.0003191914	0.0017843374	{'not applicable', 'oral'}	TRUE	TRUE	TRUE
