DrugBank:Main Name,Score,Pre-clinician score,DrugBank:FDA Approved,Less than $500,Pediatric Safety,Blood Brain Barrier,P-glycoprotein Inhibition,Human Intestinal Absorption,Drug Induced Liver Injury,Have It,Screened It,Rescue,Eckenrode,Martinez,Souder,Drug Type,Therapeutic Category,Targeted Symptoms,Proteins of Interest,Available on MedChem
Memantine,5,3,TRUE,TRUE,TRUE,95.30087669%,3.04799166%,99.31982458%,16.27019182%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not comfortable prescribing.,NMDA receptor antagonist,"Neurotransmitter modulator, Protein of interest modulator",,DLG4,FALSE
Methylprednisolone,5,3,TRUE,TRUE,TRUE,67.99579734%,33.70016974%,99.4588829%,15.12332937%,FALSE,FALSE,FALSE,Not comfortable prescribing.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",corticosteroid,"Protein of interest modulator, Increase neuroplasticity, Increase dendritic spine density",,RLIM,FALSE
Midodrine,5,3,TRUE,TRUE,TRUE,54.39380036%,2.76052086%,99.41974572%,9.60257179%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not sure.,antihypotensive,Symptomatic relief,movement disorder,,FALSE
Alfacalcidol,4,3,TRUE,TRUE,TRUE,69.02847237%,65.89712814%,99.56055258%,9.94645783%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not sure.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",vitamin analog,Symptomatic relief,dystonia,,FALSE
Amantadine,4,3,TRUE,TRUE,TRUE,95.90178545%,3.16617165%,99.47038662%,16.53867416%,TRUE,FALSE,FALSE,Not comfortable prescribing.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not comfortable prescribing.,antiparkinson,"Neurotransmitter modulator, Symptomatic relief",dystonia,,FALSE
Bisoprolol,4,3,TRUE,TRUE,TRUE,61.72274123%,15.5781309%,99.45007443%,9.84139437%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not comfortable prescribing.,Not comfortable prescribing.,beta blocker,Protein of interest modulator,,RLIM,FALSE
Ciclopirox,4,3,TRUE,TRUE,TRUE,91.80207581%,4.3014335%,99.69760557%,26.24977314%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not sure.,Not sure.,antifungal,Protein of interest modulator,,RLIM,FALSE
Clemastine,4,3,TRUE,TRUE,TRUE,97.59375362%,69.88985776%,99.62602638%,8.08508324%,FALSE,FALSE,FALSE,Not comfortable prescribing.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not sure.,antihistamine,Increase neuroplasticity,,,FALSE
Dexmedetomidine,4,3,TRUE,TRUE,TRUE,95.51233915%,6.48421437%,99.69140064%,44.88080148%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not comfortable prescribing.,Not comfortable prescribing.,sedative,"Protein of interest modulator, Neurotransmitter modulator",,DLG4,FALSE
Flunarizine,4,3,TRUE,TRUE,TRUE,96.01832251%,86.3036718%,99.469312%,20.53788872%,FALSE,FALSE,FALSE,Not comfortable prescribing.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not comfortable prescribing.,calcium antagonist,Neurotransmitter modulator,,,FALSE
Hydroxyurea,4,3,TRUE,TRUE,TRUE,80.49959977%,3.40178223%,97.91829144%,25.77863354%,FALSE,FALSE,FALSE,Not sure.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not comfortable prescribing.,antimetabolite,,,,FALSE
Insulin human,4,3,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,Not sure.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not comfortable prescribing.,hormone,,,,FALSE
Lisdexamfetamine,4,3,TRUE,TRUE,TRUE,79.37560259%,4.57279419%,99.50077781%,12.52882314%,FALSE,FALSE,FALSE,Not sure.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not comfortable prescribing.,stimulant,Neurotransmitter modulator,,,FALSE
Nadolol,4,3,TRUE,TRUE,TRUE,69.42524158%,3.92998491%,98.5830479%,6.12755842%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not sure.,Not comfortable prescribing.,beta blocker,Protein of interest modulator,,RLIM,FALSE
Naloxone,4,3,TRUE,TRUE,TRUE,97.66973501%,3.62552897%,99.46825046%,4.92715036%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not sure.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",opioid antagonist,,,,FALSE
Pregabalin,4,3,TRUE,TRUE,TRUE,69.89320913%,1.38509315%,99.1528913%,6.90958076%,FALSE,FALSE,FALSE,Not sure.,Not sure.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",anticonvulsant ,"Neurotransmitter modulator, Protein of interest modulator",,,FALSE
Progesterone,4,3,TRUE,TRUE,TRUE,22.4789552%,60.1473929%,99.67814351%,42.04950912%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",hormone,"Protein of interest modulator, Neurotransmitter modulator",,RLIM,FALSE
Pseudoephedrine,4,3,TRUE,TRUE,TRUE,57.40151209%,1.55872898%,99.58433434%,6.99944505%,FALSE,FALSE,FALSE,Not comfortable prescribing.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not sure.,decongestant,Neurotransmitter modulator,,,FALSE
Succinic acid,4,3,TRUE,TRUE,TRUE,74.1421301%,0.70935316%,81.18549444%,18.35493921%,FALSE,FALSE,FALSE,Not comfortable prescribing.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not sure.,dicarboxylic acid,Symptomatic relief,movement disorder,,FALSE
Terbinafine,4,3,TRUE,TRUE,TRUE,95.22445857%,31.29907595%,99.59512213%,39.39757448%,FALSE,FALSE,FALSE,Not comfortable prescribing.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not comfortable prescribing.,antifungal,Symptomatic relief,neuromuscular junction disease,,FALSE
Tranexamic acid,4,3,TRUE,TRUE,TRUE,65.70995448%,1.09220341%,98.72300948%,10.33911697%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not comfortable prescribing.,Not comfortable prescribing.,antihemorrhagic,Symptomatic relief,joint dislocation,,FALSE
Tretinoin,4,3,TRUE,TRUE,TRUE,83.23522311%,16.76068926%,99.44326323%,26.86619844%,FALSE,FALSE,FALSE,Not comfortable prescribing.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not sure.,antiacne,"Increase neuroplasticity, Increase dendritic spine density, Protein of interest modulator",,,FALSE
Trihexyphenidyl,4,3,TRUE,TRUE,TRUE,97.25378189%,19.64023806%,99.60152808%,5.54120535%,FALSE,FALSE,FALSE,Not comfortable prescribing.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not comfortable prescribing.,antispasmodic,"Symptomatic relief, Neurotransmitter modulator",dystonia,,FALSE
Acamprosate,3,3,TRUE,TRUE,TRUE,86.91102659%,1.14947798%,97.05819608%,19.51547666%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not sure.,Not comfortable prescribing.,alcohol deterrent,Neurotransmitter modulator,,,FALSE
Alfentanil,3,3,TRUE,TRUE,TRUE,95.87780594%,17.53542663%,98.58683721%,38.8660182%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,anesthetic,Neurotransmitter modulator,,,FALSE
Anakinra,3,3,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,Not sure.,Not sure.,Not comfortable prescribing.,immunosuppressant,Protein of interest modulator,,"RLIM, DLG4",FALSE
Anidulafungin,3,3,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,antifungal,Symptomatic relief,esotropia,,FALSE
Arsenic trioxide,3,3,TRUE,TRUE,TRUE,92.9555996%,2.75154124%,98.95080464%,20.76236962%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not sure.,Not comfortable prescribing.,antineoplastic,Protein of interest modulator,,RLIM,FALSE
Butorphanol,3,3,TRUE,TRUE,TRUE,96.87330566%,8.05012796%,99.52266016%,5.99505031%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not sure.,Not comfortable prescribing.,analgesic,Symptomatic relief,movement disorder,,FALSE
Ciclesonide,3,3,TRUE,TRUE,TRUE,96.82744379%,51.30750828%,99.05329177%,39.52478578%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not sure.,Not sure.,corticosteroid,Protein of interest modulator,,RLIM,FALSE
Desflurane,3,3,TRUE,TRUE,TRUE,92.88782245%,2.87807259%,99.21863584%,16.57588741%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not comfortable prescribing.,Not comfortable prescribing.,anesthetic,Neurotransmitter modulator,,,FALSE
Disopyramide,3,3,TRUE,TRUE,TRUE,96.03521082%,10.97704407%,99.5043181%,14.60669903%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not sure.,Not comfortable prescribing.,antiarrhythmic,Symptomatic relief,esotropia,,FALSE
Eplerenone,3,3,TRUE,TRUE,TRUE,90.91744589%,33.19196378%,99.05279282%,39.96676024%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not sure.,Not sure.,diuretic,Protein of interest modulator,,DLG4,FALSE
Ethambutol,3,3,TRUE,TRUE,TRUE,58.68236089%,1.81843421%,96.96451422%,5.12393378%,FALSE,FALSE,FALSE,Not sure.,Not comfortable prescribing.,Not comfortable prescribing.,antimycobacterial,Symptomatic relief,dystonia,,FALSE
Ethosuximide,3,3,TRUE,TRUE,TRUE,96.44059323%,1.45353643%,98.99707332%,29.66453389%,FALSE,FALSE,FALSE,Not sure.,Not sure.,Not comfortable prescribing.,antiepileptic,Neurotransmitter modulator,,,FALSE
gamma-Hydroxybutyric acid,3,3,TRUE,TRUE,TRUE,66.15746959%,0.86696188%,94.93179992%,7.38772617%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not sure.,Not sure.,neurotransmitter,Neurotransmitter modulator,,,FALSE
Guanabenz,3,3,TRUE,TRUE,TRUE,62.74841562%,4.95401269%,99.48858679%,33.95251941%,FALSE,FALSE,FALSE,Not comfortable prescribing.,Not sure.,Not comfortable prescribing.,antihypertensive,Symptomatic relief,movement disorder,,FALSE
Human immunoglobulin G,3,3,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,FALSE,Not sure.,Not comfortable prescribing.,Not sure.,antibody,Symptomatic relief,neuromuscular junction disease,,FALSE
